

[2020-11-04 21:05:02] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:05:12] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:05:37] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:05:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:06:19] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:07:48] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:07:50] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:10:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:12:09] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:12:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:12:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:12:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:13:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:14:40] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:16:11] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:16:41] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:18:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:19:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:19:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:21:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:21:25] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2020-11-04 21:54:59] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
